,2017,2018,2019
Nevada,59122,61125,63542
Orange,66044,68917,71711
Placer,64382,66506,68936
Plumas,51123,53490,55910
Riverside,39148,40587,42418
Sacramento,50717,53023,55266
San Benito,50508,52637,55261
San Bernardino,38774,40150,42043
San Diego,58380,61147,63729
San Francisco,122711,133325,139405
San Joaquin,42917,44697,47139
San Luis Obispo,55580,58108,61004
San Mateo,118047,128230,134107
Santa Barbara,59894,63314,66076
Santa Clara,100691,110344,115997
Santa Cruz,64731,68277,71592
Shasta,44808,46589,48438
Sierra,43664,45400,47245
Siskiyou,44615,46128,48021
Solano,48593,50756,53505
Sonoma,60027,63397,66700
Stanislaus,42592,43631,45742
Sutter,43215,45376,47605
Tehama,40165,41469,43268
Trinity,38383,41184,43471
Tulare,39670,40206,42845
Tuolumne,45846,47087,48841
Ventura,58970,61900,64715
Yolo,52052,53704,56123
Yuba,39744,41533,43536
,,,
Colorado,55604,58896,61157
Adams,41321,43544,45481
Alamosa,36052,38163,40076
Arapahoe,57116,61906,64477
Archuleta,40893,42483,43088
Baca,46748,45677,43297
Bent,25693,29011,31374
Boulder,69968,73518,76527
Broomfield,63349,68038,70996
Chaffee,44521,47773,49036
Cheyenne,41698,43128,55188
Clear Creek,58257,59680,61816
Conejos,34640,36927,38385
Costilla,32930,34475,35621
Crowley,18923,20104,20822
Custer,40511,41846,42381
Delta,37040,38239,39339
Denver,74573,79023,81405
Dolores,35111,36518,38005
Douglas,70383,75255,78455
Eagle,73923,82342,84765
Elbert,54453,57917,60586
El Paso,47077,49003,51117
Fremont,33369,35527,36966
Garfield,56498,58474,60285
Gilpin,46151,48377,50346
Grand,47150,50550,51891
Gunnison,45438,47962,48853
Hinsdale,49771,49906,50294
Huerfano,40015,40775,41561
Jackson,48207,54857,55715
Jefferson,60265,63319,66017
Kiowa,44048,47918,54765
Kit Carson,39740,38701,45658
Lake,34557,36867,37391
La Plata,53394,57015,58216
Larimer,51748,54207,55884
Las Animas,37611,39965,39762
Lincoln,28763,29869,30855
Logan,45615,45426,46697
Mesa,42972,45405,46719
Mineral,67477,72400,75044
Moffat,39966,42271,43842
Montezuma,40788,42341,43542
Montrose,38226,41124,41852
Morgan,42267,45774,47774
Otero,35656,38109,39708
Ouray,56794,63421,64076
Park,43997,44479,46261
Phillips,42816,44282,49259
Pitkin,139918,154078,158313
Prowers,40244,42348,44623
Pueblo,37462,39293,40680
Rio Blanco,44377,47591,49846
Rio Grande,43559,47606,50408
Routt,79304,79918,81699
Saguache,30773,33806,37022
San Juan,45302,42855,47933
San Miguel,81166,87521,90444
Sedgwick,45025,43602,48824
Summit,64445,69447,71479
Teller,47694,49131,51206
Washington,38094,40194,43765
Weld,44479,48035,50198
Yuma,44418,44539,49201
,,,
Connecticut,71740,74855,77289
Fairfield,111380,117432,121397
Hartford,61708,64118,65720
Litchfield,61147,62875,65458
Middlesex,65298,67067,69167
New Haven,53582,55779,57748
New London,56543,57912,59717
Tolland,53999,55557,57307
Windham,44849,45787,47618
,,,
Delaware,50798,52930,54485
Kent,40653,41638,43097
New Castle,54657,57229,59175
Sussex,49213,51272,52085
,,,
District of Columbia,79221,81243,83406
,,,
Florida,48504,50964,52426
Alachua,42905,45054,46690
Baker,31068,32668,33254
Bay,41658,43188,45690
Bradford,32993,33727,34179
Brevard,43733,45959,47911
Broward,48456,50538,52308
Calhoun,26575,27621,29526
Charlotte,40281,41795,42793
Citrus,37012,38021,39055
Clay,41546,43000,44042
Collier,89607,98303,99382
Columbia,33553,34676,35583
DeSoto,24236,24865,26128
Dixie,27051,27868,28314
Duval,44767,46420,47475
Escambia,41182,42898,44349
Flagler,44613,46393,47558
Franklin,34500,37616,37320
Gadsden,33620,34717,35885
Gilchrist,32708,33487,34756
Glades,24112,25265,26102
Gulf,34234,37629,46346
Hamilton,25774,27176,27643
Hardee,28321,28034,29545
Hendry,30606,32337,33204
Hernando,35893,36996,38223
Highlands,33011,33548,34480
Hillsborough,44957,46812,48452
Holmes,29943,30924,31822
Indian River,74267,79353,80818
Jackson,31644,33401,36014
Jefferson,39118,40394,41989
Lafayette,24643,25033,27645
Lake,40928,42237,43425
Lee,49714,51093,52064
Leon,42713,45093,46394
Levy,35613,36066,37680
Liberty,23862,24703,25973
Madison,31640,32874,33859
Manatee,46130,47635,48618
Marion,36141,37219,38293
Martin,81063,83263,85394
Miami-Dade,48861,53148,54902
Monroe,87123,97768,101262
Nassau,56362,60364,61329
Okaloosa,47564,49267,50681
Okeechobee,30742,31093,31971
Orange,42889,44724,46250
Osceola,32346,34090,35258
Palm Beach,77041,81445,83268
Pasco,39114,40779,42070
Pinellas,51513,53762,55607
Polk,34938,35789,36649
Putnam,31007,31938,32949
St. Johns,66610,69698,70498
St. Lucie,38441,39881,41125
Santa Rosa,43295,44479,45981
Sarasota,62789,65864,66878
Seminole,47059,49451,51156
Sumter,44741,47364,48387
Suwannee,32492,33807,33882
Taylor,29073,30647,31054
Union,20832,21681,22440
Volusia,41019,42867,44180
Wakulla,35267,37166,37660
Walton,59118,63961,64481
Washington,28990,29946,30268
,,,
Georgia,44894,46957,48236
Appling,33329,34058,35514
Atkinson,29842,30277,31542
Bacon,31903,32169,33393
Baker,34559,36850,41323
Baldwin,31962,32870,34128
Banks,34915,35636,35151
Barrow,35399,36410,37436
Bartow,36760,38312,39505
Ben Hill,30271,31890,33228
Berrien,31001,31309,32935
Bibb,40241,41555,42696
Bleckley,33501,34332,35272
Brantley,26293,27453,28248
Brooks,34384,35566,37655
Bryan,50186,53188,53853
Bulloch,31183,32381,32724
Burke,34988,35861,38481
Butts,32973,34530,35017
Calhoun,24841,24536,27390
Camden,34959,36061,37184
Candler,31307,32504,34192
Carroll,37034,38359,39147
Catoosa,34097,35200,36399
Charlton,24211,24508,25020
Chatham,45475,47398,48294
Chattahoochee,30950,29790,30062
Chattooga,30030,30960,31577
Cherokee,49351,51311,52953
Clarke,32663,34034,34869
Clay,31022,32637,35142
Clayton,27145,27827,28665
Clinch,36132,37430,39136
Cobb,54986,57528,59194
Coffee,31927,32830,34073
Colquitt,32788,33337,34780
Columbia,47850,49355,51184
Cook,31178,32618,33845
Coweta,44802,47070,48424
Crawford,33205,33850,34100
Crisp,32003,32958,35421
Dade,33840,35890,34639
Dawson,43550,45676,46278
Decatur,34430,36709,38393
DeKalb,49045,51659,53086
Dodge,29875,30759,31970
Dooly,30034,30392,34331
Dougherty,34459,35494,37050
Douglas,34007,35290,36497
Early,36286,36880,40465
Echols,26955,27775,28211
Effingham,40182,41606,42271
Elbert,34530,35372,35550
Emanuel,32489,32574,33921
Evans,33737,34443,35109
Fannin,34838,36454,37385
Fayette,61114,65526,67467
Floyd,37072,38382,39314
Forsyth,60567,62230,63864
Franklin,34999,35871,34017
Fulton,81809,87311,88832
Gilmer,33997,35511,35576
Glascock,32619,33152,34786
Glynn,44342,47211,48170
Gordon,35793,35191,35557
Grady,33740,34883,36527
Greene,54873,59604,58708
Gwinnett,39902,41582,42902
Habersham,33013,34122,34831
Hall,42239,44442,45576
Hancock,28503,30377,31297
Haralson,35404,36840,37582
Harris,45876,48015,49471
Hart,36294,38091,37701
Heard,30467,31587,31965
Henry,37755,38930,40182
Houston,41189,42655,44059
Irwin,32784,33946,36036
Jackson,40859,42762,43508
Jasper,38812,37572,38568
Jeff Davis,28661,30290,32069
Jefferson,33475,33688,36033
Jenkins,29079,29540,31635
Johnson,24598,25656,26341
Jones,36187,37110,38526
Lamar,32262,33323,34375
Lanier,26311,27786,28991
Laurens,36287,38173,38995
Lee,45663,47272,49274
Liberty,34212,36661,37424
Lincoln,36192,37006,38527
Long,26398,27102,27232
Lowndes,36015,37622,38706
Lumpkin,35376,37666,38450
McDuffie,35727,36981,38456
McIntosh,28421,30089,30981
Macon,31536,30910,32343
Madison,35694,36843,36879
Marion,27723,29124,29849
Meriwether,33339,35019,36050
Miller,40926,44794,48011
Mitchell,34920,35496,37608
Monroe,43027,44968,46563
Montgomery,29408,29539,31037
Morgan,48581,50945,51677
Murray,29286,30383,30964
Muscogee,42492,44183,45352
Newton,32522,33704,34696
Oconee,63844,66430,67845
Oglethorpe,36222,37070,36698
Paulding,36348,37743,38978
Peach,37607,37583,39336
Pickens,46246,47572,48493
Pierce,35379,36060,37486
Pike,38650,40363,41401
Polk,31568,32810,34055
Pulaski,29793,30672,31603
Putnam,40723,43685,44643
Quitman,28395,30444,31466
Rabun,40013,40393,41058
Randolph,31484,32624,35186
Richmond,36935,38277,39370
Rockdale,33965,34979,36138
Schley,30195,31837,33044
Screven,32745,33915,35346
Seminole,40756,41975,47527
Spalding,33617,34786,35740
Stephens,38455,38752,39335
Stewart,21267,22058,23081
Sumter,35463,35842,37936
Talbot,34320,33904,35705
Taliaferro,33758,34112,37088
Tattnall,29017,29509,29106
Taylor,29616,30904,32801
Telfair,20623,20938,21535
Terrell,38634,40535,43654
Thomas,42907,45023,46223
Tift,36347,37906,39317
Toombs,34477,35781,37143
Towns,36248,38067,39181
Treutlen,29166,29271,29682
Troup,35069,36237,37690
Turner,34125,34472,36836
Twiggs,37404,40771,43163
Union,35474,36758,37588
Upson,34132,35631,36653
Walker,32064,33283,34078
Walton,39169,41153,42406
Ware,33203,33985,34915
Warren,33351,34741,36427
Washington,34580,35375,36321
Wayne,30223,31834,32633
Webster,31852,32198,34700
Wheeler,18854,18916,19472
White,33767,34896,35238
Whitfield,36988,39116,39927
Wilcox,27510,27455,29334
Wilkes,41697,42640,42644
Wilkinson,34341,35544,37011
Worth,33384,34602,36974
,,,
Hawaii,53433,55214,57015
Hawaii,40976,42228,43578
Honolulu,57352,59324,61174
Kauai,47373,49680,51545
Maui + Kalawao,47783,49157,51348
,,,
Idaho,42268,44554,45968
Ada,50894,53663,54896
Adams,36031,37686,39038
Bannock,37152,38232,39246
Bear Lake,38289,41146,43103
Benewah,36152,38209,39695
Bingham,33918,36096,37909
Blaine,107631,116962,117097
Boise,41821,41898,43320
Bonner,39615,41551,42277
Bonneville,46599,48989,50114
Boundary,34636,36880,38142
Butte,39128,42276,44828
Camas,41264,44173,47417
Canyon,31486,33314,34446
Caribou,38992,40205,42527
Cassia,43020,46257,49712
Clark,44314,45791,41622
Clearwater,34875,35977,36805
Custer,42363,43351,43920
Elmore,36432,38096,40585
Franklin,34528,35579,37293
Fremont (includes Yellowstone National Park),33434,35518,37953
Gem,36040,38237,39382
Gooding,52000,54853,61715
Idaho,33773,35134,35946
Jefferson,33681,35061,37025
Jerome,35547,37009,40190
Kootenai,43304,45409,46645
Latah,39732,40734,41833
Lemhi,40863,42557,44199
Lewis,45333,48227,49643
Lincoln,35390,36938,41610
Madison,24969,27628,28780
Minidoka,36476,39440,41421
Nez Perce,43356,45852,47200
Oneida,35330,36952,39523
Owyhee,33616,36731,39409
Payette,37891,39955,41890
Power,34765,39182,43313
Shoshone,34976,36275,36793
Teton,37703,39851,40911
Twin Falls,38935,40756,42379
Valley,48498,50491,51088
Washington,34080,35036,36292
,,,
Illinois,54252,57145,58764
Adams,44801,46880,47898
Alexander,33847,35446,37723
Bond,35156,36894,37871
Boone,45118,47006,47682
Brown,33186,35416,37500
Bureau,40394,41908,43040
Calhoun,41022,42062,43368
Carroll,42884,44532,45342
Cass,39344,40889,41954
Champaign,43514,44597,45967
Christian,39866,42121,42576
Clark,39746,41716,42593
Clay,38951,40781,40308
Clinton,44800,46181,47653
Coles,39363,40679,41751
Cook,59443,63436,65306
Crawford,44542,45978,47935
Cumberland,71334,78504,83954
DeKalb,39484,40830,42120
De Witt,45201,47348,47023
Douglas,48556,51189,51859
DuPage,69386,72823,75137
Edgar,40432,41809,42665
Edwards,39303,40708,40991
Effingham,48170,49747,51296
Fayette,34099,35676,36310
Ford,47279,49447,50606
Franklin,36055,37463,38289
Fulton,36560,38025,38465
Gallatin,39669,40722,42451
Greene,34422,36366,36652
Grundy,49251,53947,55741
Hamilton,41112,42976,43609
Hancock,42119,44687,45052
Hardin,37639,36745,37438
Henderson,40628,42803,42414
Henry,44108,45614,46700
Iroquois,41534,44104,44994
Jackson,35718,36869,37967
Jasper,42127,42590,41811
Jefferson,38209,39471,40516
Jersey,39733,42068,42836
Jo Daviess,46083,47702,48743
Johnson,34988,35884,36717
Kane,49038,50542,52163
Kankakee,39672,41387,42687
Kendall,46881,48374,49931
Knox,37957,39748,40363
Lake,74555,78626,80973
LaSalle,43016,44739,46013
Lawrence,28615,30891,30877
Lee,40024,41700,42776
Livingston,42671,45315,45090
Logan,35692,37375,37660
McDonough,37337,38551,38550
McHenry,53242,54882,56711
McLean,47438,49236,49602
Macon,45767,48206,48764
Macoupin,39443,41342,42341
Madison,44715,46698,48222
Marion,40378,41792,42895
Marshall,43805,46244,45901
Mason,39098,41437,41137
Massac,36449,37465,38926
Menard,44522,46249,47012
Mercer,45237,46992,47701
Monroe,55502,57267,59125
Montgomery,34500,35850,36324
Morgan,38841,39774,40560
Moultrie,57522,63623,64409
Ogle,44838,46674,47369
Peoria,48357,50216,51089
Perry,35647,37089,38179
Piatt,52563,54735,54940
Pike,39357,41528,41957
Pope,28245,29191,29510
Pulaski,36528,36580,37936
Putnam,55918,58994,61363
Randolph,35291,36344,37988
Richland,39974,41433,42275
Rock Island,43508,44438,45711
St. Clair,43056,44618,46116
Saline,38373,39597,40891
Sangamon,46503,48062,49445
Schuyler,40564,42801,44586
Scott,38728,42897,41942
Shelby,37903,40483,40517
Stark,42429,44534,42563
Stephenson,40774,42375,42980
Tazewell,45060,47765,48515
Union,40600,42341,43491
Vermilion,37812,39177,40109
Wabash,41863,42546,43098
Warren,39135,41574,41270
Washington,45100,47898,48740
Wayne,36495,38435,39592
White,46921,49541,50560
Whiteside,42517,43581,44916
Will,50653,52232,53895
Williamson,42802,44412,45878
Winnebago,41820,43468,44234
Woodford,49689,52723,53163
,,,
Indiana,45244,47321,48678
Adams,37971,39753,40584
Allen,44356,46588,47602
Bartholomew,48154,51234,52546
Benton,39140,41444,42135
Blackford,36182,37721,38813
Boone,70455,74413,76241
Brown,45062,47146,48862
Carroll,40835,43129,43432
Cass,37536,39095,40693
Clark,42173,43712,45270
Clay,37172,37814,39004
Clinton,37042,39328,39905
Crawford,32659,33573,35054
Daviess,41052,42975,43998
Dearborn,45327,47818,49949
Decatur,41076,42721,44168
DeKalb,42369,43984,45324
Delaware,35842,36942,38129
Dubois,54297,56088,57217
Elkhart,45343,46354,46975
Fayette,38967,40663,41993
Floyd,53184,55378,57145
Fountain,38670,40413,41412
Franklin,44911,46182,47664
Fulton,40394,42377,43775
Gibson,42680,44802,46049
Grant,38364,40471,41491
Greene,38050,39433,41747
Hamilton,72005,75653,77263
Hancock,48608,50794,52134
Harrison,40565,41943,43431
Hendricks,47779,49584,50979
Henry,36958,38427,39863
Howard,40069,42140,42911
Huntington,40050,41914,42824
Jackson,40501,42933,44192
Jasper,42058,44051,45777
Jay,37891,39616,39317
Jefferson,40400,42445,44102
Jennings,37653,39471,41169
Johnson,46617,48567,50018
Knox,42930,44728,45882
Kosciusko,45539,47541,48425
Lagrange,40994,42921,43275
Lake,43094,45230,46736
LaPorte,40731,42363,43910
Lawrence,39102,40830,42538
Madison,36732,38217,39428
Marion,50211,52815,54405
Marshall,40261,41704,42196
Martin,36864,38201,39207
Miami,33947,35101,35970
Monroe,40403,42170,43660
Montgomery,38485,39835,40979
Morgan,42247,43847,45352
Newton,37712,40147,41454
Noble,38364,39800,40799
Ohio,38593,39646,41339
Orange,37069,37908,38432
Owen,38340,39896,41632
Parke,34989,35995,37570
Perry,36895,37760,38272
Pike,39116,40218,41827
Porter,50688,52943,54723
Posey,46396,48144,50407
Pulaski,41754,43844,45473
Putnam,36070,37237,38303
Randolph,37115,38071,39222
Ripley,40241,41852,43282
Rush,44108,45696,47445
St. Joseph,45904,47801,48535
Scott,36208,37464,38948
Shelby,41971,43516,44799
Spencer,42226,43836,46393
Starke,33878,34989,35648
Steuben,41269,43443,44854
Sullivan,34202,35726,36863
Switzerland,29165,31144,32174
Tippecanoe,37018,38994,39525
Tipton,44276,46665,47392
Union,37158,39548,40659
Vanderburgh,44038,45548,47233
Vermillion,37115,37433,38633
Vigo,37386,38187,39432
Wabash,40699,42536,43955
Warren,41501,44494,45202
Warrick,54359,56561,58539
Washington,36517,38743,39759
Wayne,39727,41469,42857
Wells,40514,42197,42857
White,40705,43508,44008
Whitley,42942,45268,46555
,,,
Iowa,47662,50175,51865
Adair,49169,52817,55251
Adams,60079,61015,66683
Allamakee,44833,46819,49945
Appanoose,37559,38598,40000
Audubon,47043,52532,58359
Benton,51600,53354,55520
Black Hawk,42447,45355,46326
Boone,45668,47952,49794
Bremer,47241,49512,50810
Buchanan,45814,48853,50823
Buena Vista,43212,47516,48394
Butler,44117,47199,49509
Calhoun,46453,50342,54273
Carroll,51910,55934,58482
Cass,45327,48117,50153
Cedar,51493,54466,56419
Cerro Gordo,50006,52147,54253
Cherokee,56364,61975,65727
Chickasaw,54777,59156,62483
Clarke,39565,42122,42031
Clay,47630,51957,54270
Clayton,48002,49371,51982
Clinton,42508,44486,46466
Crawford,39857,42192,45817
Dallas,64283,67453,68246
Davis,35833,39244,40289
Decatur,32933,35143,36494
Delaware,49311,52048,54823
Des Moines,48314,49534,50725
Dickinson,57041,60350,62364
Dubuque,46620,50120,51525
Emmet,41433,45979,48926
Fayette,42111,45061,46621
Floyd,45244,47557,50203
Franklin,46218,49651,53241
Fremont,44168,44615,50441
Greene,46187,49314,53039
Grundy,50068,52659,55017
Guthrie,49597,53231,54843
Hamilton,50060,55807,58399
Hancock,51322,54845,57702
Hardin,47562,50499,52844
Harrison,43166,45533,49085
Henry,41249,43652,44932
Howard,45838,50151,53184
Humboldt,47352,50020,52742
Ida,49172,52687,56128
Iowa,52105,54451,56382
Jackson,43383,44778,47052
Jasper,41039,42431,43987
Jefferson,38622,40548,41936
Johnson,50702,54102,54917
Jones,42718,44066,45927
Keokuk,43211,45664,48084
Kossuth,50322,53647,56902
Lee,39797,41784,43430
Linn,50601,52887,53533
Louisa,40323,43311,46211
Lucas,39649,41677,43061
Lyon,57584,62417,66756
Madison,47285,49362,50460
Mahaska,40324,44545,46516
Marion,45910,48738,50862
Marshall,40863,42803,44589
Mills,51060,55225,57897
Mitchell,57032,64263,69700
Monona,44424,45986,50103
Monroe,40563,43520,46356
Montgomery,39143,42062,44918
Muscatine,45434,46917,48563
'O''Brien',53663,57630,61246
Osceola,51606,56668,61277
Page,40038,41713,44442
Palo Alto,50990,55523,58989
Plymouth,53482,57357,60040
Pocahontas,48466,56505,61992
Polk,51348,52770,53859
Pottawattamie,42750,45077,47150
Poweshiek,43497,46133,47199
Ringgold,43519,46627,50405
Sac,52513,56496,59085
Scott,52227,54167,55758
Shelby,49916,52869,56323
Sioux,52058,56477,58585
Story,40208,42652,43643
Tama,43494,46137,48923
Taylor,40452,41911,45093
Union,38441,40982,42530
Van Buren,38721,41272,42908
Wapello,37548,38754,40344
Warren,49151,50495,51776
Washington,54532,59590,62145
Wayne,39741,42989,44614
Webster,43551,45932,48588
Winnebago,41146,43730,45793
Winneshiek,46617,49399,51904
Woodbury,41680,43526,45132
Worth,40726,41474,44675
Wright,49017,54438,55258
,,,
Kansas,48883,51261,53426
Allen,37513,39762,43163
Anderson,37679,38609,42046
Atchison,36488,38083,40335
Barber,39730,43843,48489
Barton,45205,46210,49460
Bourbon,40950,45087,46149
Brown,42047,45750,47930
Butler,43770,46109,48216
Chase,45897,52086,53882
Chautauqua,38367,40668,43327
Cherokee,37352,40941,42872
Cheyenne,41255,47393,54890
Clark,55513,60746,64457
Clay,40130,42603,46888
Cloud,35544,38732,41892
Coffey,48860,53008,55119
Comanche,37642,43660,46878
Cowley,36499,37968,40042
Crawford,36446,38253,39788
Decatur,42156,43544,50635
Dickinson,38991,41247,44101
Doniphan,38189,39378,44486
Douglas,41866,43939,45163
Edwards,53700,56221,62707
Elk,36846,39323,41529
Ellis,43455,45980,47758
Ellsworth,40558,44043,48380
Finney,41456,44357,46823
Ford,37462,39219,41373
Franklin,40722,42671,44472
Geary,46935,49004,51410
Gove,55758,58545,66403
Graham,44923,49676,56940
Grant,43050,48845,54892
Gray,64148,67148,75961
Greeley,72271,76059,98916
Greenwood,40047,41446,44689
Hamilton,49725,56042,69339
Harper,43487,47514,54894
Harvey,39767,42185,44416
Haskell,65051,64299,77955
Hodgeman,52037,57731,65688
Jackson,39821,41728,43447
Jefferson,42702,44670,46234
Jewell,44348,50595,57690
Johnson,70956,74467,76206
Kearny,49005,51236,59187
Kingman,41172,43615,48512
Kiowa,40921,42873,47726
Labette,40474,42426,44760
Lane,66295,72131,85007
Leavenworth,41229,42625,44075
Lincoln,37541,42741,48445
Linn,36878,38465,41013
Logan,43399,46559,53800
Lyon,36809,38525,39962
McPherson,47035,51688,56617
Marion,39237,42032,45681
Marshall,41439,43857,46580
Meade,53743,58221,66270
Miami,46594,48482,50210
Mitchell,49356,57285,62780
Montgomery,35249,37326,39041
Morris,41324,44719,46409
Morton,40827,44634,53296
Nemaha,50792,52600,53211
Neosho,37172,39139,41324
Ness,45899,51195,58901
Norton,42188,42287,47838
Osage,39138,41816,43460
Osborne,39910,48241,52889
Ottawa,39702,41831,45417
Pawnee,39014,40364,46226
Phillips,48220,50870,56113
